name,r_ohm_per_km,x_ohm_per_km,c_nf_per_km,type,max_i_ka,endtemp_degree
ААШвсУ-150                    ,0.206,0.079,336,cs,100,0
ААШвсУ-185                    ,0.167,0.077,370,cs,100,0
ААШвсУ-240                    ,0.129,0.075,410,cs,100,0
ААШвсУ-25                     ,1.25,0.099,200,cs,100,0
ААШвсУ-35                     ,0.894,0.095,210,cs,100,0
ААШвсУ-50                     ,0.625,0.09,226,cs,100,0
ААШвсУ-70                     ,0.447,0.086,254,cs,100,0
ААШвсУ-95                     ,0.326,0.083,288,cs,100,0
ААШвУ-120                     ,0.258,0.08,307,cs,100,0
ААШвУ-150                     ,0.206,0.079,336,cs,100,0
ААШвУ-185                     ,0.167,0.077,370,cs,100,0
ААШвУ-240                     ,0.129,0.075,410,cs,100,0
ААШвУ-25                      ,1.25,0.099,200,cs,100,0
ААШвУ-35                      ,0.894,0.095,210,cs,100,0
ААШвУ-50                      ,0.625,0.09,226,cs,100,0
ААШвУ-70                      ,0.447,0.086,254,cs,100,0
ААШвУ-95                      ,0.326,0.083,288,cs,100,0
ААШп-120                      ,0.258,0.08,307,cs,100,0
ААШп-150                      ,0.206,0.079,336,cs,100,0
ААШп-185                      ,0.167,0.077,370,cs,100,0
ААШп-240                      ,0.129,0.075,410,cs,100,0
ААШп-25                       ,1.25,0.099,200,cs,100,0
ААШп-35                       ,0.894,0.095,210,cs,100,0
ААШп-50                       ,0.625,0.09,226,cs,100,0
ААШп-70                       ,0.447,0.086,254,cs,100,0
ААШп-95                       ,0.326,0.083,288,cs,100,0
ААШпс-120                     ,0.258,0.08,307,cs,100,0
ААШпс-150                     ,0.206,0.079,336,cs,100,0
ААШпс-185                     ,0.167,0.077,370,cs,100,0
ААШпс-240                     ,0.129,0.075,410,cs,100,0
ААШпс-25                      ,1.25,0.099,200,cs,100,0
ААШпс-35                      ,0.894,0.095,210,cs,100,0
ААШпс-50                      ,0.625,0.09,226,cs,100,0
ААШпс-70                      ,0.447,0.086,254,cs,100,0
ААШпс-95                      ,0.326,0.083,288,cs,100,0
ААШпс(ож)-120                 ,0.258,0.08,307,cs,100,0
ААШпс(ож)-150                 ,0.206,0.079,336,cs,100,0
ААШпс(ож)-185                 ,0.167,0.077,370,cs,100,0
ААШпс(ож)-240                 ,0.129,0.075,410,cs,100,0
ААШпс(ож)-25                  ,1.25,0.099,200,cs,100,0
ААШпс(ож)-35                  ,0.894,0.095,210,cs,100,0
ААШпс(ож)-50                  ,0.625,0.09,226,cs,100,0
ААШпс(ож)-70                  ,0.447,0.086,254,cs,100,0
ААШпс(ож)-95                  ,0.326,0.083,288,cs,100,0
ААШпсУ-120                    ,0.258,0.08,307,cs,100,0
ААШпсУ-150                    ,0.206,0.079,336,cs,100,0
ААШпсУ-185                    ,0.167,0.077,370,cs,100,0
ААШпсУ-240                    ,0.129,0.075,410,cs,100,0
ААШпсУ-25                     ,1.25,0.099,200,cs,100,0
ААШпсУ-35                     ,0.894,0.095,210,cs,100,0
ААШпсУ-50                     ,0.625,0.09,226,cs,100,0
ААШпсУ-70                     ,0.447,0.086,254,cs,100,0
ААШпсУ-95                     ,0.326,0.083,288,cs,100,0
ААШпУ-120                     ,0.258,0.08,307,cs,100,0
ААШпУ-150                     ,0.206,0.079,336,cs,100,0
ААШпУ-185                     ,0.167,0.077,370,cs,100,0
ААШпУ-240                     ,0.129,0.075,410,cs,100,0
ААШпУ-25                      ,1.25,0.099,200,cs,100,0
ААШпУ-35                      ,0.894,0.095,210,cs,100,0
ААШпУ-50                      ,0.625,0.09,226,cs,100,0
ААШпУ-70                      ,0.447,0.086,254,cs,100,0
ААШпУ-95                      ,0.326,0.083,288,cs,100,0
АБл-120                       ,0.258,0.08,307,cs,100,0
АБл-150                       ,0.206,0.079,336,cs,100,0
АБл-185                       ,0.167,0.077,370,cs,100,0
АБл-240                       ,0.129,0.075,410,cs,100,0
АБл-25                        ,1.25,0.099,200,cs,100,0
АБл-35                        ,0.894,0.095,210,cs,100,0
АБл-50                        ,0.625,0.09,226,cs,100,0
АБл-70                        ,0.447,0.086,254,cs,100,0
АБл-95                        ,0.326,0.083,288,cs,100,0
АВБбШв-4х16                   ,1.838,0.084,190,cs,100,0
АВБбШв-4х25                   ,1.176,0.083,200,cs,100,0
АВБбШв-4х35                   ,0.84,0.082,210,cs,100,0
АВБбШв-4х50                   ,0.588,0.08,226,cs,100,0
АВБбШв-4х70                   ,0.42,0.079,254,cs,100,0
АВБбШв-95                     ,0.326,0.083,288,cs,100,0
АЖ-35                         ,0.91,0.385,4.97,cs,100,0
АЖ-50                         ,0.63,0.374,4.97,cs,100,0
АН-25                         ,1.27,0.345,4.97,cs,100,0
АН-35                         ,0.91,0.336,4.97,cs,100,0
АН-50                         ,0.63,0.325,4.97,cs,100,0
АН-70                         ,0.45,0.315,4.97,cs,100,0
АОСБ-120                      ,0.258,0.08,307,cs,100,0
АОСБ-150                      ,0.206,0.079,336,cs,100,0
АОСБ-185                      ,0.167,0.077,370,cs,100,0
АОСБ-240                      ,0.129,0.075,410,cs,100,0
АОСБ-25                       ,1.25,0.099,200,cs,100,0
АОСБ-35                       ,0.894,0.095,210,cs,100,0
АОСБ-50                       ,0.625,0.09,226,cs,100,0
АОСБ-70                       ,0.447,0.086,254,cs,100,0
АОСБ-95                       ,0.326,0.083,288,cs,100,0
АП-35                         ,0.91,0.336,4.97,cs,100,0
АП-50                         ,0.63,0.325,4.97,cs,100,0
АП-70                         ,0.45,0.315,4.97,cs,100,0
АП-70                         ,0.45,0.315,4.97,cs,100,0
АПН-35                        ,0.91,0.336,4.97,cs,100,0
АПС-35                        ,0.91,0.385,4.97,cs,100,0
АПС-50                        ,0.63,0.374,4.97,cs,100,0
АС-120                        ,0.27,0.347,4.97,cs,100,0
АС-150                        ,0.21,0.34,4.97,cs,100,0
АС-185                        ,0.17,0.365,4.97,cs,100,0
АС-240                        ,0.131,0.357,4.97,cs,100,0
АС-25                         ,1.146,0.396,4.97,cs,100,0
АС-35                         ,0.91,0.385,4.97,cs,100,0
АС-50                         ,0.63,0.374,4.97,cs,100,0
АС-70                         ,0.45,0.364,4.97,cs,100,0
АС-95                         ,0.33,0.353,4.97,cs,100,0
АСБ-120                       ,0.258,0.076,307,cs,100,0
АСБ-150                       ,0.206,0.074,336,cs,100,0
АСБ-185                       ,0.167,0.073,370,cs,100,0
АСБ-240                       ,0.129,0.071,410,cs,100,0
АСБ-25                        ,1.25,0.091,200,cs,100,0
АСБ-35                        ,0.894,0.087,210,cs,100,0
АСБ-50                        ,0.625,0.083,226,cs,100,0
АСБ-70                        ,0.447,0.086,254,cs,100,0
АСБ-95                        ,0.326,0.078,288,cs,100,0
АСБ2лШвУ-120                  ,0.258,0.08,307,cs,100,0
АСБ2лШвУ-150                  ,0.206,0.079,336,cs,100,0
АСБ2лШвУ-185                  ,0.167,0.077,370,cs,100,0
АСБ2лШвУ-240                  ,0.129,0.075,410,cs,100,0
АСБ2лШвУ-25                   ,1.25,0.099,200,cs,100,0
АСБ2лШвУ-35                   ,0.894,0.095,210,cs,100,0
АСБ2лШвУ-50                   ,0.625,0.09,226,cs,100,0
АСБ2лШвУ-70                   ,0.447,0.086,254,cs,100,0
АСБ2лШвУ-95                   ,0.326,0.083,288,cs,100,0
АСБГ-120                      ,0.258,0.076,307,cs,100,0
АСБГ-150                      ,0.206,0.074,336,cs,100,0
АСБГ-185                      ,0.167,0.073,370,cs,100,0
АСБГ-240                      ,0.129,0.071,410,cs,100,0
АСБГ-25                       ,1.25,0.091,200,cs,100,0
АСБГ-35                       ,0.894,0.087,210,cs,100,0
АСБГ-50                       ,0.625,0.083,226,cs,100,0
АСБГ-70                       ,0.447,0.086,254,cs,100,0
АСБГ-95                       ,0.326,0.078,288,cs,100,0
АСБл-120                      ,0.258,0.08,307,cs,100,0
АСБл-150                      ,0.206,0.079,336,cs,100,0
АСБл-185                      ,0.167,0.077,370,cs,100,0
