**Параметр**;**Тип данных**;**Описание**
p_from_mw;float;активная мощность на входе в элемент [МВт]
q_from_mvar;float;реактивная мощность на входе в элемент [МВар]
p_to_mw;float;активная мощность на выходе из элемента [МВт]
q_to_mvar;float;реактивная мощность на выходе из элемента [МВар]
pl_mw;float;активные потери мощности в элементе [МВт]
ql_mvar;float;реактивные потери мощности в элементе [МВар]
i_from_ka;float;ток на входе в элемент [кА]
i_to_ka;float;ток на выходе из элемента [кА]
