**Параметр**;**Тип данных**;**Описание**
p_mw;float;результирующая потребляемая активная мощность после масштабирования и с учетом зависимости от напряжения [МВт]
q_mvar;float;результирующая потребляемая реактивная мощность после масштабирования и с учетом зависимости от напряжения [МВар]
