**Параметр**;**Тип данных**;**Описание**
vm_pu;float;величина напряжения [о.е]
va_degree;float;угол напряжения [градус]
p_mw;float;результирующая потребность в активной мощности [МВт]
q_mvar;float;результирующая потребность в реактивной мощности [МВар]
