**Параметр**;**Тип данных**;**Описание**
p_mw;float;результирующая активная мощность после масштабирования (скорректированная на коэффициент умножения) [МВт]
q_mvar;float;результирующая реактивная мощность после масштабирования (скорректированная на коэффициент умножения) [МВар]
va_degree;float;угол напряжения генератора [градус]
vm_pu;float;напряжение генератора [о.е.]
